competen;codufmun;cnes;tp_leito;DS_TP_LEITO;co_leito;DS_CO_LEITO;qt_exist;qt_contr;qt_sus;qt_nsus
202506;130260;3004104;3;COMPLEMENTAR;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;5;0;5;0
202506;130260;3105490;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;4;0;3;1
202506;130260;3151794;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;25;0;25;0
202506;130260;3151794;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;65;0;65;0
202506;130260;3151794;2;CLINICO;33;CLINICA GERAL;6;0;6;0
202506;130260;3151794;2;CLINICO;41;NEONATOLOGIA;10;0;10;0
202506;130260;3151794;1;CIRURGICO;3;CIRURGIA GERAL;7;0;7;0
202506;130260;3151794;4;OBSTERICO;43;OBSTETRICIA CLINICA;70;0;70;0
202506;130260;3151794;5;PEDIATRICO;45;PEDIATRIA CLINICA;22;0;22;0
202506;130260;3151794;3;COMPLEMENTAR;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;20;0;20;0
202506;130260;3151794;3;COMPLEMENTAR;81;UTI NEONATAL - TIPO II;25;0;25;0
202506;130260;3151794;3;COMPLEMENTAR;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;15;0;15;0
202506;130260;3179583;1;CIRURGICO;11;OFTALMOLOGIA;3;0;2;1
202506;130260;3360377;1;CIRURGICO;6;GINECOLOGIA;2;0;0;2
202506;130260;3360377;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;4;0;0;4
202506;130260;3360377;4;OBSTERICO;43;OBSTETRICIA CLINICA;1;0;0;1
202506;130260;3360377;1;CIRURGICO;3;CIRURGIA GERAL;2;0;0;2
202506;130260;3362000;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;3;0;2;1
202506;130260;3499359;1;CIRURGICO;11;OFTALMOLOGIA;4;0;3;1
202506;130260;3664155;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;1;0;0;1
202506;130260;3787605;2;CLINICO;33;CLINICA GERAL;1;0;0;1
202506;130260;4544854;2;CLINICO;33;CLINICA GERAL;1;0;0;1
202506;130260;4727118;3;COMPLEMENTAR;78;UTI PEDIATRICA - TIPO II;10;0;0;10
202506;130260;4727118;5;PEDIATRICO;45;PEDIATRIA CLINICA;15;0;0;15
202506;130260;4826256;2;CLINICO;33;CLINICA GERAL;62;0;0;62
202506;130260;4826256;5;PEDIATRICO;68;PEDIATRIA CIRURGICA;10;0;0;10
202506;130260;4826256;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;18;0;0;18
202506;130260;4826256;3;COMPLEMENTAR;78;UTI PEDIATRICA - TIPO II;4;0;0;4
202506;130260;4826256;3;COMPLEMENTAR;80;UTI NEONATAL - TIPO I;4;0;0;4
202506;130260;4826256;4;OBSTERICO;43;OBSTETRICIA CLINICA;9;0;0;9
202506;130260;4826256;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;9;0;0;9
202506;130260;4826256;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;8;0;0;8
202506;130260;4826256;5;PEDIATRICO;45;PEDIATRIA CLINICA;23;0;0;23
202506;130260;4915216;1;CIRURGICO;3;CIRURGIA GERAL;8;0;8;0
202506;130260;4915216;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;16;0;16;0
202506;130260;4915216;2;CLINICO;38;HEMATOLOGIA;53;0;53;0
202506;130260;4915216;5;PEDIATRICO;45;PEDIATRIA CLINICA;56;0;56;0
